material_id,M_element,Ru_fraction,M_fraction,nominal_formula,adsorbate,adsorption_site_index,adsorbate_structure_file,parent_slab_file,notes
MAT_013,Mg,0.6,0.4,Ru0.60Mg0.40Ox,N2O,0,data\substituted_adsorbates\MAT_013_N2O_site0_adsorbed.cif,data\substituted_slabs\MAT_013_110_slab.cif,multiple adsorption site structure
MAT_013,Mg,0.6,0.4,Ru0.60Mg0.40Ox,N2O,1,data\substituted_adsorbates\MAT_013_N2O_site1_adsorbed.cif,data\substituted_slabs\MAT_013_110_slab.cif,multiple adsorption site structure
MAT_013,Mg,0.6,0.4,Ru0.60Mg0.40Ox,N2O,2,data\substituted_adsorbates\MAT_013_N2O_site2_adsorbed.cif,data\substituted_slabs\MAT_013_110_slab.cif,multiple adsorption site structure
MAT_014,Mg,0.4,0.6,Ru0.40Mg0.60Ox,O,0,data\substituted_adsorbates\MAT_014_O_site0_adsorbed.cif,data\substituted_slabs\MAT_014_110_slab.cif,multiple adsorption site structure
MAT_014,Mg,0.4,0.6,Ru0.40Mg0.60Ox,O,1,data\substituted_adsorbates\MAT_014_O_site1_adsorbed.cif,data\substituted_slabs\MAT_014_110_slab.cif,multiple adsorption site structure
MAT_014,Mg,0.4,0.6,Ru0.40Mg0.60Ox,O,2,data\substituted_adsorbates\MAT_014_O_site2_adsorbed.cif,data\substituted_slabs\MAT_014_110_slab.cif,multiple adsorption site structure
MAT_014,Mg,0.4,0.6,Ru0.40Mg0.60Ox,O2,0,data\substituted_adsorbates\MAT_014_O2_site0_adsorbed.cif,data\substituted_slabs\MAT_014_110_slab.cif,multiple adsorption site structure
MAT_014,Mg,0.4,0.6,Ru0.40Mg0.60Ox,O2,1,data\substituted_adsorbates\MAT_014_O2_site1_adsorbed.cif,data\substituted_slabs\MAT_014_110_slab.cif,multiple adsorption site structure
MAT_014,Mg,0.4,0.6,Ru0.40Mg0.60Ox,O2,2,data\substituted_adsorbates\MAT_014_O2_site2_adsorbed.cif,data\substituted_slabs\MAT_014_110_slab.cif,multiple adsorption site structure
MAT_014,Mg,0.4,0.6,Ru0.40Mg0.60Ox,N2O,0,data\substituted_adsorbates\MAT_014_N2O_site0_adsorbed.cif,data\substituted_slabs\MAT_014_110_slab.cif,multiple adsorption site structure
MAT_014,Mg,0.4,0.6,Ru0.40Mg0.60Ox,N2O,1,data\substituted_adsorbates\MAT_014_N2O_site1_adsorbed.cif,data\substituted_slabs\MAT_014_110_slab.cif,multiple adsorption site structure
MAT_014,Mg,0.4,0.6,Ru0.40Mg0.60Ox,N2O,2,data\substituted_adsorbates\MAT_014_N2O_site2_adsorbed.cif,data\substituted_slabs\MAT_014_110_slab.cif,multiple adsorption site structure
MAT_015,Mg,0.2,0.8,Ru0.20Mg0.80Ox,O,0,data\substituted_adsorbates\MAT_015_O_site0_adsorbed.cif,data\substituted_slabs\MAT_015_110_slab.cif,multiple adsorption site structure
MAT_015,Mg,0.2,0.8,Ru0.20Mg0.80Ox,O,1,data\substituted_adsorbates\MAT_015_O_site1_adsorbed.cif,data\substituted_slabs\MAT_015_110_slab.cif,multiple adsorption site structure
MAT_015,Mg,0.2,0.8,Ru0.20Mg0.80Ox,O,2,data\substituted_adsorbates\MAT_015_O_site2_adsorbed.cif,data\substituted_slabs\MAT_015_110_slab.cif,multiple adsorption site structure
MAT_015,Mg,0.2,0.8,Ru0.20Mg0.80Ox,O2,0,data\substituted_adsorbates\MAT_015_O2_site0_adsorbed.cif,data\substituted_slabs\MAT_015_110_slab.cif,multiple adsorption site structure
MAT_015,Mg,0.2,0.8,Ru0.20Mg0.80Ox,O2,1,data\substituted_adsorbates\MAT_015_O2_site1_adsorbed.cif,data\substituted_slabs\MAT_015_110_slab.cif,multiple adsorption site structure
