material_id,M_element,Ru_fraction,M_fraction,nominal_formula,adsorption_site_index,h2o_structure_file,predicted_energy_eV,backend,status
MAT_053,Cr,0.6,0.4,Ru0.60Cr0.40Ox,0,data\h2o_adsorbates\MAT_053_H2O_site0.cif,-703.3425766201393,uma-s-1p2,success
MAT_053,Cr,0.6,0.4,Ru0.60Cr0.40Ox,1,data\h2o_adsorbates\MAT_053_H2O_site1.cif,-703.3692549810437,uma-s-1p2,success
MAT_053,Cr,0.6,0.4,Ru0.60Cr0.40Ox,2,data\h2o_adsorbates\MAT_053_H2O_site2.cif,-702.7632293244001,uma-s-1p2,success
MAT_054,Cr,0.4,0.6,Ru0.40Cr0.60Ox,0,data\h2o_adsorbates\MAT_054_H2O_site0.cif,-702.207802239501,uma-s-1p2,success
MAT_054,Cr,0.4,0.6,Ru0.40Cr0.60Ox,1,data\h2o_adsorbates\MAT_054_H2O_site1.cif,-702.2429767481012,uma-s-1p2,success
MAT_054,Cr,0.4,0.6,Ru0.40Cr0.60Ox,2,data\h2o_adsorbates\MAT_054_H2O_site2.cif,-701.5687317529358,uma-s-1p2,success
MAT_055,Cr,0.2,0.8,Ru0.20Cr0.80Ox,0,data\h2o_adsorbates\MAT_055_H2O_site0.cif,-701.9864455175604,uma-s-1p2,success
MAT_055,Cr,0.2,0.8,Ru0.20Cr0.80Ox,1,data\h2o_adsorbates\MAT_055_H2O_site1.cif,-702.0222632111987,uma-s-1p2,success
MAT_055,Cr,0.2,0.8,Ru0.20Cr0.80Ox,2,data\h2o_adsorbates\MAT_055_H2O_site2.cif,-701.6256765035798,uma-s-1p2,success
MAT_057,Mn,0.8,0.1999999999999999,Ru0.80Mn0.20Ox,0,data\h2o_adsorbates\MAT_057_H2O_site0.cif,-696.8592365178843,uma-s-1p2,success
MAT_057,Mn,0.8,0.1999999999999999,Ru0.80Mn0.20Ox,1,data\h2o_adsorbates\MAT_057_H2O_site1.cif,-697.2888550646408,uma-s-1p2,success
MAT_057,Mn,0.8,0.1999999999999999,Ru0.80Mn0.20Ox,2,data\h2o_adsorbates\MAT_057_H2O_site2.cif,-696.7340043005161,uma-s-1p2,success
MAT_058,Mn,0.6,0.4,Ru0.60Mn0.40Ox,0,data\h2o_adsorbates\MAT_058_H2O_site0.cif,-691.2002837335009,uma-s-1p2,success
MAT_058,Mn,0.6,0.4,Ru0.60Mn0.40Ox,1,data\h2o_adsorbates\MAT_058_H2O_site1.cif,-691.6183521734763,uma-s-1p2,success
MAT_058,Mn,0.6,0.4,Ru0.60Mn0.40Ox,2,data\h2o_adsorbates\MAT_058_H2O_site2.cif,-691.03180522378,uma-s-1p2,success
MAT_059,Mn,0.4,0.6,Ru0.40Mn0.60Ox,0,data\h2o_adsorbates\MAT_059_H2O_site0.cif,-683.3108397398553,uma-s-1p2,success
MAT_059,Mn,0.4,0.6,Ru0.40Mn0.60Ox,1,data\h2o_adsorbates\MAT_059_H2O_site1.cif,-683.2903694438925,uma-s-1p2,success
MAT_059,Mn,0.4,0.6,Ru0.40Mn0.60Ox,2,data\h2o_adsorbates\MAT_059_H2O_site2.cif,-683.0810297167609,uma-s-1p2,success
MAT_060,Mn,0.2,0.8,Ru0.20Mn0.80Ox,0,data\h2o_adsorbates\MAT_060_H2O_site0.cif,-680.312828556647,uma-s-1p2,success
MAT_060,Mn,0.2,0.8,Ru0.20Mn0.80Ox,1,data\h2o_adsorbates\MAT_060_H2O_site1.cif,-680.2787890131228,uma-s-1p2,success
MAT_060,Mn,0.2,0.8,Ru0.20Mn0.80Ox,2,data\h2o_adsorbates\MAT_060_H2O_site2.cif,-680.268040527951,uma-s-1p2,success
MAT_062,Fe,0.8,0.1999999999999999,Ru0.80Fe0.20Ox,0,data\h2o_adsorbates\MAT_062_H2O_site0.cif,-678.2978950118978,uma-s-1p2,success
MAT_062,Fe,0.8,0.1999999999999999,Ru0.80Fe0.20Ox,1,data\h2o_adsorbates\MAT_062_H2O_site1.cif,-678.5256628147606,uma-s-1p2,success
MAT_062,Fe,0.8,0.1999999999999999,Ru0.80Fe0.20Ox,2,data\h2o_adsorbates\MAT_062_H2O_site2.cif,-677.9735772203691,uma-s-1p2,success
MAT_063,Fe,0.6,0.4,Ru0.60Fe0.40Ox,0,data\h2o_adsorbates\MAT_063_H2O_site0.cif,-663.2283802300902,uma-s-1p2,success
MAT_063,Fe,0.6,0.4,Ru0.60Fe0.40Ox,1,data\h2o_adsorbates\MAT_063_H2O_site1.cif,-663.464431946184,uma-s-1p2,success
MAT_063,Fe,0.6,0.4,Ru0.60Fe0.40Ox,2,data\h2o_adsorbates\MAT_063_H2O_site2.cif,-662.8392683025853,uma-s-1p2,success
MAT_064,Fe,0.4,0.6,Ru0.40Fe0.60Ox,0,data\h2o_adsorbates\MAT_064_H2O_site0.cif,-633.7216127748974,uma-s-1p2,success
MAT_064,Fe,0.4,0.6,Ru0.40Fe0.60Ox,1,data\h2o_adsorbates\MAT_064_H2O_site1.cif,-633.7303856510387,uma-s-1p2,success
MAT_064,Fe,0.4,0.6,Ru0.40Fe0.60Ox,2,data\h2o_adsorbates\MAT_064_H2O_site2.cif,-633.290769092476,uma-s-1p2,success
MAT_065,Fe,0.2,0.8,Ru0.20Fe0.80Ox,0,data\h2o_adsorbates\MAT_065_H2O_site0.cif,-619.4036028900581,uma-s-1p2,success
MAT_065,Fe,0.2,0.8,Ru0.20Fe0.80Ox,1,data\h2o_adsorbates\MAT_065_H2O_site1.cif,-619.4146996842197,uma-s-1p2,success
MAT_065,Fe,0.2,0.8,Ru0.20Fe0.80Ox,2,data\h2o_adsorbates\MAT_065_H2O_site2.cif,-619.364362758509,uma-s-1p2,success
MAT_067,Co,0.8,0.1999999999999999,Ru0.80Co0.20Ox,0,data\h2o_adsorbates\MAT_067_H2O_site0.cif,-666.8182932830225,uma-s-1p2,success
MAT_067,Co,0.8,0.1999999999999999,Ru0.80Co0.20Ox,1,data\h2o_adsorbates\MAT_067_H2O_site1.cif,-667.1022656740034,uma-s-1p2,success
MAT_067,Co,0.8,0.1999999999999999,Ru0.80Co0.20Ox,2,data\h2o_adsorbates\MAT_067_H2O_site2.cif,-666.5415743888861,uma-s-1p2,success
MAT_068,Co,0.6,0.4,Ru0.60Co0.40Ox,0,data\h2o_adsorbates\MAT_068_H2O_site0.cif,-645.7804524077172,uma-s-1p2,success
MAT_068,Co,0.6,0.4,Ru0.60Co0.40Ox,1,data\h2o_adsorbates\MAT_068_H2O_site1.cif,-646.0750640757958,uma-s-1p2,success
