material_id,M_element,Ru_fraction,M_fraction,nominal_formula,vacancy_site_index,vacancy_structure_file,predicted_energy_eV,backend,status
MAT_028,K,0.6,0.4,Ru0.60K0.40Ox,0,data\vacancies\MAT_028_vacancy_site0.cif,-245.75572589459762,uma-s-1p2,success
MAT_028,K,0.6,0.4,Ru0.60K0.40Ox,1,data\vacancies\MAT_028_vacancy_site1.cif,-244.67779322482014,uma-s-1p2,success
MAT_028,K,0.6,0.4,Ru0.60K0.40Ox,2,data\vacancies\MAT_028_vacancy_site2.cif,-241.8756730927156,uma-s-1p2,success
MAT_029,K,0.4,0.6,Ru0.40K0.60Ox,0,data\vacancies\MAT_029_vacancy_site0.cif,-184.00616125479144,uma-s-1p2,success
MAT_029,K,0.4,0.6,Ru0.40K0.60Ox,1,data\vacancies\MAT_029_vacancy_site1.cif,-183.18151130746674,uma-s-1p2,success
MAT_029,K,0.4,0.6,Ru0.40K0.60Ox,2,data\vacancies\MAT_029_vacancy_site2.cif,-183.95437617537544,uma-s-1p2,success
MAT_030,K,0.2,0.8,Ru0.20K0.80Ox,0,data\vacancies\MAT_030_vacancy_site0.cif,-158.9360793091878,uma-s-1p2,success
MAT_030,K,0.2,0.8,Ru0.20K0.80Ox,1,data\vacancies\MAT_030_vacancy_site1.cif,-159.37272706991564,uma-s-1p2,success
MAT_030,K,0.2,0.8,Ru0.20K0.80Ox,2,data\vacancies\MAT_030_vacancy_site2.cif,-158.99880478342516,uma-s-1p2,success
MAT_032,Ca,0.8,0.1999999999999999,Ru0.80Ca0.20Ox,0,data\vacancies\MAT_032_vacancy_site0.cif,-307.3697737794978,uma-s-1p2,success
MAT_032,Ca,0.8,0.1999999999999999,Ru0.80Ca0.20Ox,1,data\vacancies\MAT_032_vacancy_site1.cif,-306.2139243346878,uma-s-1p2,success
MAT_032,Ca,0.8,0.1999999999999999,Ru0.80Ca0.20Ox,2,data\vacancies\MAT_032_vacancy_site2.cif,-305.2993599996631,uma-s-1p2,success
MAT_033,Ca,0.6,0.4,Ru0.60Ca0.40Ox,0,data\vacancies\MAT_033_vacancy_site0.cif,-290.17360963902564,uma-s-1p2,success
MAT_033,Ca,0.6,0.4,Ru0.60Ca0.40Ox,1,data\vacancies\MAT_033_vacancy_site1.cif,-290.71299046916135,uma-s-1p2,success
MAT_033,Ca,0.6,0.4,Ru0.60Ca0.40Ox,2,data\vacancies\MAT_033_vacancy_site2.cif,-288.07430029866896,uma-s-1p2,success
MAT_034,Ca,0.4,0.6,Ru0.40Ca0.60Ox,0,data\vacancies\MAT_034_vacancy_site0.cif,-253.5570343914422,uma-s-1p2,success
MAT_034,Ca,0.4,0.6,Ru0.40Ca0.60Ox,1,data\vacancies\MAT_034_vacancy_site1.cif,-254.28266747846394,uma-s-1p2,success
MAT_034,Ca,0.4,0.6,Ru0.40Ca0.60Ox,2,data\vacancies\MAT_034_vacancy_site2.cif,-253.3191357368209,uma-s-1p2,success
MAT_035,Ca,0.2,0.8,Ru0.20Ca0.80Ox,0,data\vacancies\MAT_035_vacancy_site0.cif,-237.46076575705223,uma-s-1p2,success
MAT_035,Ca,0.2,0.8,Ru0.20Ca0.80Ox,1,data\vacancies\MAT_035_vacancy_site1.cif,-238.0559701931321,uma-s-1p2,success
MAT_035,Ca,0.2,0.8,Ru0.20Ca0.80Ox,2,data\vacancies\MAT_035_vacancy_site2.cif,-237.2087195712583,uma-s-1p2,success
MAT_037,Sc,0.8,0.1999999999999999,Ru0.80Sc0.20Ox,0,data\vacancies\MAT_037_vacancy_site0.cif,-343.0032694993387,uma-s-1p2,success
MAT_037,Sc,0.8,0.1999999999999999,Ru0.80Sc0.20Ox,1,data\vacancies\MAT_037_vacancy_site1.cif,-344.1841453357711,uma-s-1p2,success
MAT_037,Sc,0.8,0.1999999999999999,Ru0.80Sc0.20Ox,2,data\vacancies\MAT_037_vacancy_site2.cif,-343.2679979948546,uma-s-1p2,success
MAT_038,Sc,0.6,0.4,Ru0.60Sc0.40Ox,0,data\vacancies\MAT_038_vacancy_site0.cif,-345.1550531301811,uma-s-1p2,success
