material_id,M_element,Ru_fraction,M_fraction,nominal_formula,structure_file,parent_lattice,notes
MAT_185,Gd,0.2,0.8,Ru0.20Gd0.80Ox,data\substituted_structures\MAT_185_Ru0.20Gd0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_187,Tb,0.8,0.1999999999999999,Ru0.80Tb0.20Ox,data\substituted_structures\MAT_187_Ru0.80Tb0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_188,Tb,0.6,0.4,Ru0.60Tb0.40Ox,data\substituted_structures\MAT_188_Ru0.60Tb0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_189,Tb,0.4,0.6,Ru0.40Tb0.60Ox,data\substituted_structures\MAT_189_Ru0.40Tb0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_190,Tb,0.2,0.8,Ru0.20Tb0.80Ox,data\substituted_structures\MAT_190_Ru0.20Tb0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_192,Dy,0.8,0.1999999999999999,Ru0.80Dy0.20Ox,data\substituted_structures\MAT_192_Ru0.80Dy0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_193,Dy,0.6,0.4,Ru0.60Dy0.40Ox,data\substituted_structures\MAT_193_Ru0.60Dy0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_194,Dy,0.4,0.6,Ru0.40Dy0.60Ox,data\substituted_structures\MAT_194_Ru0.40Dy0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_195,Dy,0.2,0.8,Ru0.20Dy0.80Ox,data\substituted_structures\MAT_195_Ru0.20Dy0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_197,Ho,0.8,0.1999999999999999,Ru0.80Ho0.20Ox,data\substituted_structures\MAT_197_Ru0.80Ho0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_198,Ho,0.6,0.4,Ru0.60Ho0.40Ox,data\substituted_structures\MAT_198_Ru0.60Ho0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_199,Ho,0.4,0.6,Ru0.40Ho0.60Ox,data\substituted_structures\MAT_199_Ru0.40Ho0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_200,Ho,0.2,0.8,Ru0.20Ho0.80Ox,data\substituted_structures\MAT_200_Ru0.20Ho0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_202,Er,0.8,0.1999999999999999,Ru0.80Er0.20Ox,data\substituted_structures\MAT_202_Ru0.80Er0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_203,Er,0.6,0.4,Ru0.60Er0.40Ox,data\substituted_structures\MAT_203_Ru0.60Er0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_204,Er,0.4,0.6,Ru0.40Er0.60Ox,data\substituted_structures\MAT_204_Ru0.40Er0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_205,Er,0.2,0.8,Ru0.20Er0.80Ox,data\substituted_structures\MAT_205_Ru0.20Er0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_207,Yb,0.8,0.1999999999999999,Ru0.80Yb0.20Ox,data\substituted_structures\MAT_207_Ru0.80Yb0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_208,Yb,0.6,0.4,Ru0.60Yb0.40Ox,data\substituted_structures\MAT_208_Ru0.60Yb0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_209,Yb,0.4,0.6,Ru0.40Yb0.60Ox,data\substituted_structures\MAT_209_Ru0.40Yb0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_210,Yb,0.2,0.8,Ru0.20Yb0.80Ox,data\substituted_structures\MAT_210_Ru0.20Yb0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_212,Hf,0.8,0.1999999999999999,Ru0.80Hf0.20Ox,data\substituted_structures\MAT_212_Ru0.80Hf0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_213,Hf,0.6,0.4,Ru0.60Hf0.40Ox,data\substituted_structures\MAT_213_Ru0.60Hf0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_214,Hf,0.4,0.6,Ru0.40Hf0.60Ox,data\substituted_structures\MAT_214_Ru0.40Hf0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_215,Hf,0.2,0.8,Ru0.20Hf0.80Ox,data\substituted_structures\MAT_215_Ru0.20Hf0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_217,Ta,0.8,0.1999999999999999,Ru0.80Ta0.20Ox,data\substituted_structures\MAT_217_Ru0.80Ta0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_218,Ta,0.6,0.4,Ru0.60Ta0.40Ox,data\substituted_structures\MAT_218_Ru0.60Ta0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_219,Ta,0.4,0.6,Ru0.40Ta0.60Ox,data\substituted_structures\MAT_219_Ru0.40Ta0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
