material_id,nominal_formula,adsorbate,adsorbate_structure_file,predicted_energy_eV,backend,status
MAT_011,Ru0.50Mn0.50Ox,N2O,data\substituted_adsorbates\MAT_011_N2O_site0_adsorbed.cif,-358.7411270126081,uma-s-1p2,success
MAT_011,Ru0.50Mn0.50Ox,N2O,data\substituted_adsorbates\MAT_011_N2O_site1_adsorbed.cif,-359.4065069388106,uma-s-1p2,success
MAT_011,Ru0.50Mn0.50Ox,N2O,data\substituted_adsorbates\MAT_011_N2O_site2_adsorbed.cif,-357.62983231730925,uma-s-1p2,success
MAT_012,Ru0.25Mn0.75Ox,O,data\substituted_adsorbates\MAT_012_O_site0_adsorbed.cif,-670.9978560829898,uma-s-1p2,success
MAT_012,Ru0.25Mn0.75Ox,O,data\substituted_adsorbates\MAT_012_O_site1_adsorbed.cif,-670.8816554625869,uma-s-1p2,success
MAT_012,Ru0.25Mn0.75Ox,O,data\substituted_adsorbates\MAT_012_O_site2_adsorbed.cif,-671.0879734838727,uma-s-1p2,success
MAT_012,Ru0.25Mn0.75Ox,O2,data\substituted_adsorbates\MAT_012_O2_site0_adsorbed.cif,-675.8756569552579,uma-s-1p2,success
MAT_012,Ru0.25Mn0.75Ox,O2,data\substituted_adsorbates\MAT_012_O2_site1_adsorbed.cif,-675.8325821802486,uma-s-1p2,success
MAT_012,Ru0.25Mn0.75Ox,O2,data\substituted_adsorbates\MAT_012_O2_site2_adsorbed.cif,-676.3115616641397,uma-s-1p2,success
MAT_012,Ru0.25Mn0.75Ox,N2O,data\substituted_adsorbates\MAT_012_N2O_site0_adsorbed.cif,-687.3900699406299,uma-s-1p2,success
MAT_012,Ru0.25Mn0.75Ox,N2O,data\substituted_adsorbates\MAT_012_N2O_site1_adsorbed.cif,-687.3479529341035,uma-s-1p2,success
MAT_012,Ru0.25Mn0.75Ox,N2O,data\substituted_adsorbates\MAT_012_N2O_site2_adsorbed.cif,-687.6556215624145,uma-s-1p2,success
MAT_014,Ru0.75Ce0.25Ox,O,data\substituted_adsorbates\MAT_014_O_site0_adsorbed.cif,-685.9187116295346,uma-s-1p2,success
MAT_014,Ru0.75Ce0.25Ox,O,data\substituted_adsorbates\MAT_014_O_site1_adsorbed.cif,-687.1081951864245,uma-s-1p2,success
MAT_014,Ru0.75Ce0.25Ox,O,data\substituted_adsorbates\MAT_014_O_site2_adsorbed.cif,-687.107375527198,uma-s-1p2,success
MAT_014,Ru0.75Ce0.25Ox,O2,data\substituted_adsorbates\MAT_014_O2_site0_adsorbed.cif,-689.9088717377913,uma-s-1p2,success
MAT_014,Ru0.75Ce0.25Ox,O2,data\substituted_adsorbates\MAT_014_O2_site1_adsorbed.cif,-691.1914304648556,uma-s-1p2,success
