material_id,M_element,Ru_fraction,M_fraction,nominal_formula,slab_file,predicted_energy_eV,backend,status
MAT_092,Ge,0.8,0.1999999999999999,Ru0.80Ge0.20Ox,data\substituted_slabs\MAT_092_110_slab.cif,-330.1577801349006,uma-s-1p2,success
MAT_093,Ge,0.6,0.4,Ru0.60Ge0.40Ox,data\substituted_slabs\MAT_093_110_slab.cif,-321.98356431473525,uma-s-1p2,success
MAT_094,Ge,0.4,0.6,Ru0.40Ge0.60Ox,data\substituted_slabs\MAT_094_110_slab.cif,-308.40106453932196,uma-s-1p2,success
MAT_095,Ge,0.2,0.8,Ru0.20Ge0.80Ox,data\substituted_slabs\MAT_095_110_slab.cif,-302.87533112363747,uma-s-1p2,success
MAT_097,Sr,0.8,0.1999999999999999,Ru0.80Sr0.20Ox,data\substituted_slabs\MAT_097_110_slab.cif,-297.55716880479457,uma-s-1p2,success
MAT_098,Sr,0.6,0.4,Ru0.60Sr0.40Ox,data\substituted_slabs\MAT_098_110_slab.cif,-272.1529254043019,uma-s-1p2,success
MAT_099,Sr,0.4,0.6,Ru0.40Sr0.60Ox,data\substituted_slabs\MAT_099_110_slab.cif,-223.05211744636057,uma-s-1p2,success
MAT_100,Sr,0.2,0.8,Ru0.20Sr0.80Ox,data\substituted_slabs\MAT_100_110_slab.cif,-201.59909611659873,uma-s-1p2,success
MAT_102,Y,0.8,0.1999999999999999,Ru0.80Y0.20Ox,data\substituted_slabs\MAT_102_110_slab.cif,-342.4293457000124,uma-s-1p2,success
MAT_103,Y,0.6,0.4,Ru0.60Y0.40Ox,data\substituted_slabs\MAT_103_110_slab.cif,-339.4989220604861,uma-s-1p2,success
MAT_104,Y,0.4,0.6,Ru0.40Y0.60Ox,data\substituted_slabs\MAT_104_110_slab.cif,-334.73939086736334,uma-s-1p2,success
MAT_105,Y,0.2,0.8,Ru0.20Y0.80Ox,data\substituted_slabs\MAT_105_110_slab.cif,-334.16663982952946,uma-s-1p2,success
MAT_107,Zr,0.8,0.1999999999999999,Ru0.80Zr0.20Ox,data\substituted_slabs\MAT_107_110_slab.cif,-362.18438766232913,uma-s-1p2,success
MAT_108,Zr,0.6,0.4,Ru0.60Zr0.40Ox,data\substituted_slabs\MAT_108_110_slab.cif,-370.03777371466,uma-s-1p2,success
MAT_109,Zr,0.4,0.6,Ru0.40Zr0.60Ox,data\substituted_slabs\MAT_109_110_slab.cif,-389.2364130338333,uma-s-1p2,success
MAT_110,Zr,0.2,0.8,Ru0.20Zr0.80Ox,data\substituted_slabs\MAT_110_110_slab.cif,-398.20397512834955,uma-s-1p2,success
MAT_112,Nb,0.8,0.1999999999999999,Ru0.80Nb0.20Ox,data\substituted_slabs\MAT_112_110_slab.cif,-363.10409524837877,uma-s-1p2,success
MAT_113,Nb,0.6,0.4,Ru0.60Nb0.40Ox,data\substituted_slabs\MAT_113_110_slab.cif,-372.0585783182904,uma-s-1p2,success
MAT_114,Nb,0.4,0.6,Ru0.40Nb0.60Ox,data\substituted_slabs\MAT_114_110_slab.cif,-389.8584799700586,uma-s-1p2,success
MAT_115,Nb,0.2,0.8,Ru0.20Nb0.80Ox,data\substituted_slabs\MAT_115_110_slab.cif,-396.10157241289227,uma-s-1p2,success
MAT_117,Mo,0.8,0.1999999999999999,Ru0.80Mo0.20Ox,data\substituted_slabs\MAT_117_110_slab.cif,-343.09849205097737,uma-s-1p2,success
MAT_118,Mo,0.6,0.4,Ru0.60Mo0.40Ox,data\substituted_slabs\MAT_118_110_slab.cif,-342.1921380217947,uma-s-1p2,success
MAT_119,Mo,0.4,0.6,Ru0.40Mo0.60Ox,data\substituted_slabs\MAT_119_110_slab.cif,-340.9135077890688,uma-s-1p2,success
MAT_120,Mo,0.2,0.8,Ru0.20Mo0.80Ox,data\substituted_slabs\MAT_120_110_slab.cif,-339.9370249161016,uma-s-1p2,success
MAT_122,Rh,0.8,0.1999999999999999,Ru0.80Rh0.20Ox,data\substituted_slabs\MAT_122_110_slab.cif,-335.4630015101575,uma-s-1p2,success
MAT_123,Rh,0.6,0.4,Ru0.60Rh0.40Ox,data\substituted_slabs\MAT_123_110_slab.cif,-330.10084976952027,uma-s-1p2,success
MAT_124,Rh,0.4,0.6,Ru0.40Rh0.60Ox,data\substituted_slabs\MAT_124_110_slab.cif,-319.7287738555144,uma-s-1p2,success
