material_id,M_element,Ru_fraction,M_fraction,nominal_formula,miller_index,slab_file,parent_structure_file,notes
MAT_108,Zr,0.6,0.4,Ru0.60Zr0.40Ox,"(1,1,0)",data\substituted_slabs\MAT_108_110_slab.cif,data\substituted_structures\MAT_108_Ru0.60Zr0.40Ox.cif,generated substituted slab
MAT_109,Zr,0.4,0.6,Ru0.40Zr0.60Ox,"(1,1,0)",data\substituted_slabs\MAT_109_110_slab.cif,data\substituted_structures\MAT_109_Ru0.40Zr0.60Ox.cif,generated substituted slab
MAT_110,Zr,0.2,0.8,Ru0.20Zr0.80Ox,"(1,1,0)",data\substituted_slabs\MAT_110_110_slab.cif,data\substituted_structures\MAT_110_Ru0.20Zr0.80Ox.cif,generated substituted slab
MAT_112,Nb,0.8,0.1999999999999999,Ru0.80Nb0.20Ox,"(1,1,0)",data\substituted_slabs\MAT_112_110_slab.cif,data\substituted_structures\MAT_112_Ru0.80Nb0.20Ox.cif,generated substituted slab
MAT_113,Nb,0.6,0.4,Ru0.60Nb0.40Ox,"(1,1,0)",data\substituted_slabs\MAT_113_110_slab.cif,data\substituted_structures\MAT_113_Ru0.60Nb0.40Ox.cif,generated substituted slab
MAT_114,Nb,0.4,0.6,Ru0.40Nb0.60Ox,"(1,1,0)",data\substituted_slabs\MAT_114_110_slab.cif,data\substituted_structures\MAT_114_Ru0.40Nb0.60Ox.cif,generated substituted slab
MAT_115,Nb,0.2,0.8,Ru0.20Nb0.80Ox,"(1,1,0)",data\substituted_slabs\MAT_115_110_slab.cif,data\substituted_structures\MAT_115_Ru0.20Nb0.80Ox.cif,generated substituted slab
MAT_117,Mo,0.8,0.1999999999999999,Ru0.80Mo0.20Ox,"(1,1,0)",data\substituted_slabs\MAT_117_110_slab.cif,data\substituted_structures\MAT_117_Ru0.80Mo0.20Ox.cif,generated substituted slab
MAT_118,Mo,0.6,0.4,Ru0.60Mo0.40Ox,"(1,1,0)",data\substituted_slabs\MAT_118_110_slab.cif,data\substituted_structures\MAT_118_Ru0.60Mo0.40Ox.cif,generated substituted slab
MAT_119,Mo,0.4,0.6,Ru0.40Mo0.60Ox,"(1,1,0)",data\substituted_slabs\MAT_119_110_slab.cif,data\substituted_structures\MAT_119_Ru0.40Mo0.60Ox.cif,generated substituted slab
MAT_120,Mo,0.2,0.8,Ru0.20Mo0.80Ox,"(1,1,0)",data\substituted_slabs\MAT_120_110_slab.cif,data\substituted_structures\MAT_120_Ru0.20Mo0.80Ox.cif,generated substituted slab
MAT_122,Rh,0.8,0.1999999999999999,Ru0.80Rh0.20Ox,"(1,1,0)",data\substituted_slabs\MAT_122_110_slab.cif,data\substituted_structures\MAT_122_Ru0.80Rh0.20Ox.cif,generated substituted slab
MAT_123,Rh,0.6,0.4,Ru0.60Rh0.40Ox,"(1,1,0)",data\substituted_slabs\MAT_123_110_slab.cif,data\substituted_structures\MAT_123_Ru0.60Rh0.40Ox.cif,generated substituted slab
MAT_124,Rh,0.4,0.6,Ru0.40Rh0.60Ox,"(1,1,0)",data\substituted_slabs\MAT_124_110_slab.cif,data\substituted_structures\MAT_124_Ru0.40Rh0.60Ox.cif,generated substituted slab
MAT_125,Rh,0.2,0.8,Ru0.20Rh0.80Ox,"(1,1,0)",data\substituted_slabs\MAT_125_110_slab.cif,data\substituted_structures\MAT_125_Ru0.20Rh0.80Ox.cif,generated substituted slab
MAT_127,Pd,0.8,0.1999999999999999,Ru0.80Pd0.20Ox,"(1,1,0)",data\substituted_slabs\MAT_127_110_slab.cif,data\substituted_structures\MAT_127_Ru0.80Pd0.20Ox.cif,generated substituted slab
MAT_128,Pd,0.6,0.4,Ru0.60Pd0.40Ox,"(1,1,0)",data\substituted_slabs\MAT_128_110_slab.cif,data\substituted_structures\MAT_128_Ru0.60Pd0.40Ox.cif,generated substituted slab
MAT_129,Pd,0.4,0.6,Ru0.40Pd0.60Ox,"(1,1,0)",data\substituted_slabs\MAT_129_110_slab.cif,data\substituted_structures\MAT_129_Ru0.40Pd0.60Ox.cif,generated substituted slab
MAT_130,Pd,0.2,0.8,Ru0.20Pd0.80Ox,"(1,1,0)",data\substituted_slabs\MAT_130_110_slab.cif,data\substituted_structures\MAT_130_Ru0.20Pd0.80Ox.cif,generated substituted slab
MAT_132,Ag,0.8,0.1999999999999999,Ru0.80Ag0.20Ox,"(1,1,0)",data\substituted_slabs\MAT_132_110_slab.cif,data\substituted_structures\MAT_132_Ru0.80Ag0.20Ox.cif,generated substituted slab
MAT_133,Ag,0.6,0.4,Ru0.60Ag0.40Ox,"(1,1,0)",data\substituted_slabs\MAT_133_110_slab.cif,data\substituted_structures\MAT_133_Ru0.60Ag0.40Ox.cif,generated substituted slab
MAT_134,Ag,0.4,0.6,Ru0.40Ag0.60Ox,"(1,1,0)",data\substituted_slabs\MAT_134_110_slab.cif,data\substituted_structures\MAT_134_Ru0.40Ag0.60Ox.cif,generated substituted slab
MAT_135,Ag,0.2,0.8,Ru0.20Ag0.80Ox,"(1,1,0)",data\substituted_slabs\MAT_135_110_slab.cif,data\substituted_structures\MAT_135_Ru0.20Ag0.80Ox.cif,generated substituted slab
MAT_137,Cd,0.8,0.1999999999999999,Ru0.80Cd0.20Ox,"(1,1,0)",data\substituted_slabs\MAT_137_110_slab.cif,data\substituted_structures\MAT_137_Ru0.80Cd0.20Ox.cif,generated substituted slab
MAT_138,Cd,0.6,0.4,Ru0.60Cd0.40Ox,"(1,1,0)",data\substituted_slabs\MAT_138_110_slab.cif,data\substituted_structures\MAT_138_Ru0.60Cd0.40Ox.cif,generated substituted slab
MAT_139,Cd,0.4,0.6,Ru0.40Cd0.60Ox,"(1,1,0)",data\substituted_slabs\MAT_139_110_slab.cif,data\substituted_structures\MAT_139_Ru0.40Cd0.60Ox.cif,generated substituted slab
MAT_140,Cd,0.2,0.8,Ru0.20Cd0.80Ox,"(1,1,0)",data\substituted_slabs\MAT_140_110_slab.cif,data\substituted_structures\MAT_140_Ru0.20Cd0.80Ox.cif,generated substituted slab
MAT_142,In,0.8,0.1999999999999999,Ru0.80In0.20Ox,"(1,1,0)",data\substituted_slabs\MAT_142_110_slab.cif,data\substituted_structures\MAT_142_Ru0.80In0.20Ox.cif,generated substituted slab
MAT_143,In,0.6,0.4,Ru0.60In0.40Ox,"(1,1,0)",data\substituted_slabs\MAT_143_110_slab.cif,data\substituted_structures\MAT_143_Ru0.60In0.40Ox.cif,generated substituted slab
MAT_144,In,0.4,0.6,Ru0.40In0.60Ox,"(1,1,0)",data\substituted_slabs\MAT_144_110_slab.cif,data\substituted_structures\MAT_144_Ru0.40In0.60Ox.cif,generated substituted slab
MAT_145,In,0.2,0.8,Ru0.20In0.80Ox,"(1,1,0)",data\substituted_slabs\MAT_145_110_slab.cif,data\substituted_structures\MAT_145_Ru0.20In0.80Ox.cif,generated substituted slab
MAT_147,Sn,0.8,0.1999999999999999,Ru0.80Sn0.20Ox,"(1,1,0)",data\substituted_slabs\MAT_147_110_slab.cif,data\substituted_structures\MAT_147_Ru0.80Sn0.20Ox.cif,generated substituted slab
MAT_148,Sn,0.6,0.4,Ru0.60Sn0.40Ox,"(1,1,0)",data\substituted_slabs\MAT_148_110_slab.cif,data\substituted_structures\MAT_148_Ru0.60Sn0.40Ox.cif,generated substituted slab
MAT_149,Sn,0.4,0.6,Ru0.40Sn0.60Ox,"(1,1,0)",data\substituted_slabs\MAT_149_110_slab.cif,data\substituted_structures\MAT_149_Ru0.40Sn0.60Ox.cif,generated substituted slab
MAT_150,Sn,0.2,0.8,Ru0.20Sn0.80Ox,"(1,1,0)",data\substituted_slabs\MAT_150_110_slab.cif,data\substituted_structures\MAT_150_Ru0.20Sn0.80Ox.cif,generated substituted slab
MAT_152,Ba,0.8,0.1999999999999999,Ru0.80Ba0.20Ox,"(1,1,0)",data\substituted_slabs\MAT_152_110_slab.cif,data\substituted_structures\MAT_152_Ru0.80Ba0.20Ox.cif,generated substituted slab
MAT_153,Ba,0.6,0.4,Ru0.60Ba0.40Ox,"(1,1,0)",data\substituted_slabs\MAT_153_110_slab.cif,data\substituted_structures\MAT_153_Ru0.60Ba0.40Ox.cif,generated substituted slab
MAT_154,Ba,0.4,0.6,Ru0.40Ba0.60Ox,"(1,1,0)",data\substituted_slabs\MAT_154_110_slab.cif,data\substituted_structures\MAT_154_Ru0.40Ba0.60Ox.cif,generated substituted slab
MAT_155,Ba,0.2,0.8,Ru0.20Ba0.80Ox,"(1,1,0)",data\substituted_slabs\MAT_155_110_slab.cif,data\substituted_structures\MAT_155_Ru0.20Ba0.80Ox.cif,generated substituted slab
